disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
CANDIDATE,Crossfield et al. 2016,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,79.9999,0.0098,-0.0098,0.0,,,,,10.2,2.1,-2.1,0.0,0.91,0.19,-0.19,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,4542.0,130.0,-130.0,0.0,0.508,0.098,-0.098,0.0,,,,,,,,,,4.747,0.097,-0.097,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m35.97s,169.1498727,-04d39m23.19s,-4.6564416,333.46,7.579,-7.255,14.258,0.149,-0.149,11.604,0.023,-0.023,13.9651,0.000401,-0.000401,2016-07-18,2016-09,2016-07-18
CANDIDATE,Kruse et al. 2019,1.0,0.0,Transit,2019.0,K2,Published Candidate,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,,,,30.0,8.3,-10.6,0.0,3.0,0.74,-0.946,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.707,0.05,-0.05,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m35.97s,169.1498727,-04d39m23.19s,-4.6564416,333.46,7.579,-7.255,14.258,0.149,-0.149,11.604,0.023,-0.023,13.9651,0.000401,-0.000401,2019-09-05,2019-09,2019-09-05
CANDIDATE,Livingston et al. 2018,1.0,0.0,Transit,2018.0,K2,Published Candidate,0.0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,17.77297,9e-05,-9e-05,0.0,,,,,26.44,0.65,-0.65,0.0,2.359,0.058,-0.058,0.0,,,,,,,,,,,,,,,,,,830.0,34.0,-33.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5847.0,82.63,-157.44,0.0,1.25428,0.066004,-0.055051,0.0,1.06,0.116397,-0.152212,0.0,,,,,,4.26659,0.079353,-0.076592,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h16m40.73s,184.1697015,-04d33m37.42s,-4.5603949,601.265,9.088,-8.827,13.327,0.08,-0.08,11.65,0.019,-0.019,13.0873,0.000521,-0.000521,2018-08-02,2018-08,2018-08-02
CANDIDATE,Vanderburg et al. 2016,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,0.99656225,,,0.0,,,,,32.8,,,0.0,2.92622,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3727.0,,,0.0,0.5,,,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h30m50.50s,172.7104166,-04d30m27.33s,-4.5075924,335.632,6.7025,-6.7025,16.226,0.286,-0.286,12.335,0.027,-0.027,15.4518,0.001097,-0.001097,2015-12-05,2016-01,2015-12-05
CANDIDATE,Kruse et al. 2019,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,14.912381,,,0.0,,,,,3.55,,,0.0,0.31670979,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4224.0,,,0.0,0.65,,,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h48m22.77s,177.0948891,-04d09m51.86s,-4.1644059,360.103,5.725,-5.552,15.537,0.046,-0.046,12.424,0.027,-0.027,15.0437,0.000289,-0.000289,2015-12-05,2016-01,2015-12-05
CANDIDATE,Kruse et al. 2019,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,14.9139,0.0018,-0.002,0.0,,,,,3.24,0.33,-0.56,0.0,0.289,0.029,-0.05,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.647,0.038,-0.024,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h48m22.77s,177.0948891,-04d09m51.86s,-4.1644059,360.103,5.725,-5.552,15.537,0.046,-0.046,12.424,0.027,-0.027,15.0437,0.000289,-0.000289,2019-09-05,2019-09,2019-09-05
CANDIDATE,Vanderburg et al. 2016,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,0.57303573,,,0.0,,,,,3.35,,,0.0,0.29886698,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3570.0,,,0.0,0.43,,,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h36m28.97s,174.1207146,-03d28m58.18s,-3.4828286,1138.64,340.67,-221.637,18.78,0.2,-0.2,15.155,0.159,-0.159,18.0887,0.002148,-0.002148,2015-12-05,2016-01,2015-12-05
CANDIDATE,Kruse et al. 2019,1.0,1.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,7.90417,0.00091,-0.00148,0.0,,,,,2.06,0.53,-0.56,0.0,0.184,0.047,-0.05,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.374,0.089,-0.035,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,15.2612,0.000501,-0.000501,2019-09-05,2019-09,2019-09-05
CANDIDATE,Kruse et al. 2019,1.0,1.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,7.9069606,,,0.0,,,,,3.02,,,0.0,0.26942635,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3772.0,,,0.0,0.52,,,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,15.2612,0.000501,-0.000501,2015-12-05,2016-01,2015-12-05
CANDIDATE,Vanderburg et al. 2016,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,1.0829614,,,0.0,,,,,1.56,,,0.0,0.13917388,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3875.0,,,0.0,0.56,,,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h33m03.07s,173.2627978,-03d23m19.39s,-3.3887192,299.406,4.528,-4.398,15.657,0.355,-0.355,12.282,0.024,-0.024,15.1848,0.000676,-0.000676,2015-12-05,2016-01,2015-12-05
CANDIDATE,Kruse et al. 2019,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,0.905655,4.9e-05,-5e-05,0.0,,,,,1.57,0.16,-0.26,0.0,0.14,0.014,-0.023,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.576,0.04,-0.028,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h32m12.69s,173.0528796,-03d22m13.16s,-3.370321,190.075,1.555,-1.555,15.731,0.446,-0.446,11.735,0.026,-0.026,14.9247,0.000531,-0.000531,2019-09-05,2019-09,2019-09-05
CANDIDATE,Kruse et al. 2019,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,0.90552205,,,0.0,,,,,1.52,,,0.0,0.13560532,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3710.0,,,0.0,0.5,,,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h32m12.69s,173.0528796,-03d22m13.16s,-3.370321,190.075,1.555,-1.555,15.731,0.446,-0.446,11.735,0.026,-0.026,14.9247,0.000531,-0.000531,2015-12-05,2016-01,2015-12-05
CANDIDATE,Kruse et al. 2019,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,2.7541129,,,0.0,,,,,4.87,,,0.0,0.4344723,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3834.0,,,0.0,0.55,,,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h51m47.15s,177.9464521,-03d14m45.67s,-3.2460183,793.131,108.24,-85.595,17.3749,0.0461,-0.0461,13.748,0.057,-0.057,16.7664,0.000761,-0.000761,2015-12-05,2016-01,2015-12-05
CANDIDATE,Kruse et al. 2019,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2.75421,0.00012,-0.00012,0.0,,,,,8.4,1.2,-6.8,0.0,0.75,0.11,-0.61,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.89,0.063,-0.01,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h51m47.15s,177.9464521,-03d14m45.67s,-3.2460183,793.131,108.24,-85.595,17.3749,0.0461,-0.0461,13.748,0.057,-0.057,16.7664,0.000761,-0.000761,2019-09-05,2019-09,2019-09-05
